Name|Price|Category|Manufacturer
Apple MacBook (M1)|299.99|Computers|Apple
Apple MacBook (M4)|1299.99|Computers|Apple
iPad Pro 13" (M4)|1099.99|Tablets|Apple
iPad Air 11" (M2)|599.99|Tablets|Apple

Lenovo Thinkpad P1 Gen 4|599.99|Computers|Lenovo
Lenovo Thinkpad P14s Gen 5 (AMD)|899.99|Computers|Lenovo

Panasonic Multi-System VCR|135.99|Home Media - Used|Panasonic
A/V Cables|5.99|Home Media Cables|

Cendrillon VHS|19.50|VHS - Foreign|Disney
Den Lille Havfrue VHS|19.89|VHS - Foreign|Disney
Cenerentola VHS|19.67|VHS - Foreign|Disney
Assepoester VHS|19.90|VHS - Foreign|Disney
Kopciuszek VHS|19.61|VHS - Foreign|Disney
Askepot VHS|19.50|VHS - Foreign|Disney
